Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
0,0,Enjoying A Beautiful Day At The Park!,Positive,2023-01-15 12:30:00,User123,Twitter,#Nature #Park,15.0,30.0,Usa,2023,1,15,12
1,1,Traffic Was Terrible This Morning.,Negative,2023-01-15 08:45:00,Commuterx,Twitter,#Traffic #Morning,5.0,10.0,Canada,2023,1,15,8
2,2,Just Finished An Amazing Workout! 💪,Positive,2023-01-15 15:45:00,Fitnessfan,Instagram,#Fitness #Workout,20.0,40.0,Usa,2023,1,15,15
3,3,Excited About The Upcoming Weekend Getaway!,Positive,2023-01-15 18:20:00,Adventurex,Facebook,#Travel #Adventure,8.0,15.0,Uk,2023,1,15,18
4,4,Trying Out A New Recipe For Dinner Tonight.,Neutral,2023-01-15 19:55:00,Chefcook,Instagram,#Cooking #Food,12.0,25.0,Australia,2023,1,15,19
5,5,Feeling Grateful For The Little Things In Life.,Positive,2023-01-16 09:10:00,Gratitudenow,Twitter,#Gratitude #Positivevibes,25.0,50.0,India,2023,1,16,9
6,6,Rainy Days Call For Cozy Blankets And Hot Cocoa.,Positive,2023-01-16 14:45:00,Rainydays,Facebook,#Rainydays #Cozy,10.0,20.0,Canada,2023,1,16,14
7,7,The New Movie Release Is A Must-Watch!,Positive,2023-01-16 19:30:00,Moviebuff,Instagram,#Movienight #Mustwatch,15.0,30.0,Usa,2023,1,16,19
8,8,Political Discussions Heating Up On The Timeline.,Negative,2023-01-17 08:00:00,Debatetalk,Twitter,#Politics #Debate,30.0,60.0,Usa,2023,1,17,8
9,9,Missing Summer Vibes And Beach Days.,Neutral,2023-01-17 12:20:00,Beachlover,Facebook,#Summer #Beachdays,18.0,35.0,Australia,2023,1,17,12
10,10,Just Published A New Blog Post. Check It Out!,Positive,2023-01-17 15:15:00,Bloggerx,Instagram,#Blogging #Newpost,22.0,45.0,Usa,2023,1,17,15
11,11,Feeling A Bit Under The Weather Today.,Negative,2023-01-18 10:30:00,Wellnesscheck,Twitter,#Sickday #Health,7.0,15.0,Canada,2023,1,18,10
12,12,Exploring The City'S Hidden Gems.,Positive,2023-01-18 14:50:00,Urbanexplorer,Facebook,#Cityexplore #Hiddengems,12.0,25.0,Uk,2023,1,18,14
13,13,"New Year, New Fitness Goals! 💪",Positive,2023-01-18 18:00:00,Fitjourney,Instagram,#Newyear #Fitnessgoals,28.0,55.0,Usa,2023,1,18,18
14,14,Technology Is Changing The Way We Live.,Neutral,2023-01-19 09:45:00,Techenthusiast,Twitter,#Tech #Innovation,15.0,30.0,India,2023,1,19,9
15,15,Reflecting On The Past And Looking Ahead.,Positive,2023-01-19 13:20:00,Reflections,Facebook,#Reflection #Future,20.0,40.0,Usa,2023,1,19,13
16,16,Just Adopted A Cute Furry Friend! 🐾,Positive,2023-01-19 17:10:00,Petadopter,Instagram,#Petadoption #Furryfriend,15.0,30.0,Canada,2023,1,19,17
17,17,Late-Night Gaming Session With Friends.,Positive,2023-01-20 00:05:00,Gamerx,Twitter,#Gaming #Latenight,18.0,35.0,Uk,2023,1,20,0
18,18,Attending A Virtual Conference On Ai.,Neutral,2023-01-20 11:30:00,Techconference,Facebook,#Ai #Techconference,25.0,50.0,Usa,2023,1,20,11
19,19,Winter Blues Got Me Feeling Low.,Negative,2023-01-20 15:15:00,Winterblues,Instagram,#Winterblues #Mood,8.0,15.0,Usa,2023,1,20,15
20,20,Sipping Coffee And Enjoying A Good Book.,Positive,2023-01-21 08:40:00,Bookworm,Twitter,#Reading #Coffeetime,22.0,45.0,India,2023,1,21,8
21,21,Exploring The World Of Virtual Reality.,Positive,2023-01-21 13:20:00,Vrexplorer,Facebook,#Vr #Virtualreality,15.0,30.0,Usa,2023,1,21,13
22,22,Productive Day Ticking Off My To-Do List.,Positive,2023-01-21 16:45:00,Productivitypro,Instagram,#Productivity #Workfromhome,30.0,60.0,Usa,2023,1,21,16
23,23,Just Finished A Challenging Workout Routine.,Positive,2023-01-22 09:15:00,Fitnesswarrior,Twitter,#Fitness #Challengeaccepted,20.0,40.0,Uk,2023,1,22,9
24,24,Celebrating A Milestone At Work! 🎉,Positive,2023-01-22 14:30:00,Careermilestone,Facebook,#Career #Milestone,12.0,25.0,Canada,2023,1,22,14
25,25,Sunday Brunch With Friends.,Positive,2023-01-22 12:00:00,Brunchbuddy,Instagram,#Brunch #Friends,15.0,30.0,Uk,2023,1,22,12
27,28,Learning A New Language For Personal Growth.,Positive,2023-01-23 16:20:00,Languagelearner,Facebook,#Languagelearning #Personalgrowth,25.0,50.0,India,2023,1,23,16
28,29,Quiet Evening With A Good Book.,Positive,2023-01-23 19:45:00,Booklover,Instagram,#Reading #Quiettime,15.0,30.0,Australia,2023,1,23,19
29,30,Reflecting On The Importance Of Mental Health.,Positive,2023-01-24 11:30:00,Mentalhealthmatters,Twitter,#Mentalhealth #Selfcare,22.0,45.0,Usa,2023,1,24,11
